,year,county,cause,sex,age_code,N
169,108,Taipei City,非何杰金氏淋巴瘤,女,90-94歲,1
170,108,Taipei City,非何杰金氏淋巴瘤,女,95-99歲,1
171,108,Taipei City,白血病,男,70-74歲,2
172,108,Taipei City,白血病,男,75-79歲,3
173,108,Taipei City,白血病,男,80-84歲,1
174,108,Taipei City,白血病,男,90-94歲,1
175,108,Taipei City,白血病,男,95-99歲,1
176,108,Taipei City,白血病,女,70-74歲,1
177,108,Taipei City,其他癌症,男,55-59歲,2
178,108,Taipei City,其他癌症,男,65-69歲,1
179,108,Taipei City,其他癌症,男,75-79歲,3
180,108,Taipei City,其他癌症,男,80-84歲,2
181,108,Taipei City,其他癌症,男,85-89歲,2
182,108,Taipei City,其他癌症,男,90-94歲,1
183,108,Taipei City,其他癌症,女,60-64歲,1
184,108,Taipei City,其他癌症,女,65-69歲,1
185,108,Taipei City,其他癌症,女,75-79歲,2
186,108,Taipei City,其他癌症,女,80-84歲,2
187,108,Taipei City,其他癌症,女,85-89歲,2
188,108,Taipei City,其他癌症,女,90-94歲,1
189,108,Taipei City,其他癌症,女,95-99歲,2
190,108,Taipei City,口腔癌,男,45-49歲,1
191,108,Taipei City,口腔癌,男,50-54歲,1
192,108,Taipei City,口腔癌,男,55-59歲,5
193,108,Taipei City,口腔癌,男,60-64歲,3
194,108,Taipei City,口腔癌,男,65-69歲,1
195,108,Taipei City,口腔癌,男,75-79歲,4
196,108,Taipei City,口腔癌,男,80-84歲,2
197,108,Taipei City,口腔癌,男,85-89歲,2
198,108,Taipei City,口腔癌,女,70-74歲,1
199,108,Taipei City,口腔癌,女,85-89歲,1
200,108,Taipei City,主唾液腺癌,男,70-74歲,1
201,108,Taipei City,主唾液腺癌,女,60-64歲,1
202,108,Taipei City,主唾液腺癌,女,65-69歲,1
203,108,Taipei City,鼻咽癌,男,35-39歲,1
204,108,Taipei City,食道癌,男,45-49歲,1
205,108,Taipei City,食道癌,男,50-54歲,1
206,108,Taipei City,食道癌,男,55-59歲,1
207,108,Taipei City,食道癌,男,60-64歲,4
208,108,Taipei City,食道癌,男,65-69歲,1
209,108,Taipei City,食道癌,男,70-74歲,2
210,108,Taipei City,食道癌,男,85-89歲,1
211,108,Taipei City,食道癌,男,90-94歲,1
212,108,Taipei City,胃癌,男,50-54歲,1
213,108,Taipei City,胃癌,男,60-64歲,1
214,108,Taipei City,胃癌,男,65-69歲,3
215,108,Taipei City,胃癌,男,70-74歲,2
216,108,Taipei City,胃癌,男,75-79歲,6
217,108,Taipei City,胃癌,男,80-84歲,1
218,108,Taipei City,胃癌,男,85-89歲,1
219,108,Taipei City,胃癌,男,90-94歲,1
220,108,Taipei City,胃癌,男,95-99歲,2
221,108,Taipei City,胃癌,男,100歲以上,1
222,108,Taipei City,胃癌,女,50-54歲,2
223,108,Taipei City,胃癌,女,55-59歲,1
224,108,Taipei City,胃癌,女,60-64歲,2
225,108,Taipei City,胃癌,女,70-74歲,2
226,108,Taipei City,胃癌,女,75-79歲,1
227,108,Taipei City,胃癌,女,80-84歲,1
228,108,Taipei City,胃癌,女,85-89歲,3
229,108,Taipei City,胃癌,女,90-94歲,1
230,108,Taipei City,小腸癌,男,75-79歲,2
231,108,Taipei City,結腸、直腸和肛門癌,男,30-34歲,1
232,108,Taipei City,結腸、直腸和肛門癌,男,35-39歲,1
233,108,Taipei City,結腸、直腸和肛門癌,男,40-44歲,2
234,108,Taipei City,結腸、直腸和肛門癌,男,50-54歲,3
235,108,Taipei City,結腸、直腸和肛門癌,男,55-59歲,2
236,108,Taipei City,結腸、直腸和肛門癌,男,60-64歲,5
237,108,Taipei City,結腸、直腸和肛門癌,男,65-69歲,7
238,108,Taipei City,結腸、直腸和肛門癌,男,70-74歲,6
239,108,Taipei City,結腸、直腸和肛門癌,男,75-79歲,12
240,108,Taipei City,結腸、直腸和肛門癌,男,80-84歲,7
241,108,Taipei City,結腸、直腸和肛門癌,男,85-89歲,3
242,108,Taipei City,結腸、直腸和肛門癌,男,90-94歲,5
243,108,Taipei City,結腸、直腸和肛門癌,男,95-99歲,2
244,108,Taipei City,結腸、直腸和肛門癌,女,40-44歲,1
245,108,Taipei City,結腸、直腸和肛門癌,女,45-49歲,2
246,108,Taipei City,結腸、直腸和肛門癌,女,50-54歲,2
247,108,Taipei City,結腸、直腸和肛門癌,女,55-59歲,3
248,108,Taipei City,結腸、直腸和肛門癌,女,65-69歲,1
249,108,Taipei City,結腸、直腸和肛門癌,女,70-74歲,5
250,108,Taipei City,結腸、直腸和肛門癌,女,75-79歲,4
251,108,Taipei City,結腸、直腸和肛門癌,女,80-84歲,5
252,108,Taipei City,結腸、直腸和肛門癌,女,85-89歲,5
253,108,Taipei City,結腸、直腸和肛門癌,女,90-94歲,2
254,108,Taipei City,結腸、直腸和肛門癌,女,95-99歲,2
255,108,Taipei City,肝和肝內膽管癌,男,30-34歲,1
256,108,Taipei City,肝和肝內膽管癌,男,45-49歲,2
257,108,Taipei City,肝和肝內膽管癌,男,50-54歲,2
258,108,Taipei City,肝和肝內膽管癌,男,55-59歲,5
259,108,Taipei City,肝和肝內膽管癌,男,60-64歲,4
260,108,Taipei City,肝和肝內膽管癌,男,65-69歲,6
261,108,Taipei City,肝和肝內膽管癌,男,70-74歲,8
262,108,Taipei City,肝和肝內膽管癌,男,75-79歲,12
263,108,Taipei City,肝和肝內膽管癌,男,80-84歲,7
264,108,Taipei City,肝和肝內膽管癌,男,85-89歲,3
265,108,Taipei City,肝和肝內膽管癌,男,90-94歲,4
266,108,Taipei City,肝和肝內膽管癌,女,55-59歲,1
267,108,Taipei City,肝和肝內膽管癌,女,60-64歲,1
268,108,Taipei City,肝和肝內膽管癌,女,65-69歲,4
269,108,Taipei City,肝和肝內膽管癌,女,70-74歲,3
270,108,Taipei City,肝和肝內膽管癌,女,75-79歲,2
271,108,Taipei City,肝和肝內膽管癌,女,80-84歲,7
272,108,Taipei City,肝和肝內膽管癌,女,85-89歲,7
273,108,Taipei City,肝和肝內膽管癌,女,90-94歲,5
274,108,Taipei City,肝和肝內膽管癌,女,95-99歲,2
275,108,Taipei City,膽囊和其他膽道癌,男,55-59歲,1
276,108,Taipei City,膽囊和其他膽道癌,男,70-74歲,1
277,108,Taipei City,膽囊和其他膽道癌,男,75-79歲,1
278,108,Taipei City,膽囊和其他膽道癌,男,85-89歲,1
279,108,Taipei City,膽囊和其他膽道癌,女,80-84歲,1
280,108,Taipei City,膽囊和其他膽道癌,女,85-89歲,1
281,108,Taipei City,膽囊和其他膽道癌,女,90-94歲,1
282,108,Taipei City,胰臟癌,男,45-49歲,1
283,108,Taipei City,胰臟癌,男,50-54歲,1
284,108,Taipei City,胰臟癌,男,55-59歲,2
285,108,Taipei City,胰臟癌,男,60-64歲,3
286,108,Taipei City,胰臟癌,男,65-69歲,2
287,108,Taipei City,胰臟癌,男,70-74歲,3
288,108,Taipei City,胰臟癌,男,75-79歲,3
289,108,Taipei City,胰臟癌,男,80-84歲,4
290,108,Taipei City,胰臟癌,男,85-89歲,3
291,108,Taipei City,胰臟癌,男,90-94歲,2
292,108,Taipei City,胰臟癌,女,50-54歲,1
293,108,Taipei City,胰臟癌,女,55-59歲,1
294,108,Taipei City,胰臟癌,女,70-74歲,3
295,108,Taipei City,胰臟癌,女,75-79歲,4
296,108,Taipei City,胰臟癌,女,80-84歲,1
297,108,Taipei City,胰臟癌,女,85-89歲,1
298,108,Taipei City,胰臟癌,女,90-94歲,2
299,108,Taipei City,胰臟癌,女,95-99歲,1
300,108,Taipei City,鼻腔、中耳和副鼻竇癌,男,70-74歲,1
301,108,Taipei City,鼻腔、中耳和副鼻竇癌,男,75-79歲,1
302,108,Taipei City,喉癌,男,70-74歲,1
303,108,Taipei City,喉癌,男,75-79歲,1
304,108,Taipei City,氣管、支氣管和肺癌,男,40-44歲,1
305,108,Taipei City,氣管、支氣管和肺癌,男,50-54歲,1
306,108,Taipei City,氣管、支氣管和肺癌,男,55-59歲,4
307,108,Taipei City,氣管、支氣管和肺癌,男,60-64歲,8
308,108,Taipei City,氣管、支氣管和肺癌,男,65-69歲,5
309,108,Taipei City,氣管、支氣管和肺癌,男,70-74歲,6
310,108,Taipei City,氣管、支氣管和肺癌,男,75-79歲,8
311,108,Taipei City,氣管、支氣管和肺癌,男,80-84歲,11
312,108,Taipei City,氣管、支氣管和肺癌,男,85-89歲,10
313,108,Taipei City,氣管、支氣管和肺癌,男,90-94歲,10
314,108,Taipei City,氣管、支氣管和肺癌,男,95-99歲,3
315,108,Taipei City,氣管、支氣管和肺癌,男,100歲以上,1
316,108,Taipei City,氣管、支氣管和肺癌,女,40-44歲,1
317,108,Taipei City,氣管、支氣管和肺癌,女,45-49歲,2
318,108,Taipei City,氣管、支氣管和肺癌,女,50-54歲,1
319,108,Taipei City,氣管、支氣管和肺癌,女,55-59歲,4
320,108,Taipei City,氣管、支氣管和肺癌,女,60-64歲,8
321,108,Taipei City,氣管、支氣管和肺癌,女,65-69歲,9
322,108,Taipei City,氣管、支氣管和肺癌,女,70-74歲,3
323,108,Taipei City,氣管、支氣管和肺癌,女,75-79歲,9
324,108,Taipei City,氣管、支氣管和肺癌,女,80-84歲,9
325,108,Taipei City,氣管、支氣管和肺癌,女,85-89歲,6
326,108,Taipei City,氣管、支氣管和肺癌,女,90-94歲,6
327,108,Taipei City,氣管、支氣管和肺癌,女,100歲以上,1
328,108,Taipei City,胸腺癌,男,75-79歲,1
329,108,Taipei City,胸腺癌,女,65-69歲,1
330,108,Taipei City,胸腺癌,女,85-89歲,1
331,108,Taipei City,心臟、縱隔和胸(肋)膜癌,男,65-69歲,1
332,108,Taipei City,黑色素瘤和其他皮膚癌,男,70-74歲,1
333,108,Taipei City,黑色素瘤和其他皮膚癌,男,100歲以上,1
334,108,Taipei City,黑色素瘤和其他皮膚癌,女,90-94歲,1
335,108,Taipei City,間皮和軟組織癌,男,30-34歲,1
336,108,Taipei City,間皮和軟組織癌,男,65-69歲,1
337,108,Taipei City,間皮和軟組織癌,男,70-74歲,1
338,108,Taipei City,間皮和軟組織癌,男,85-89歲,1
339,108,Taipei City,間皮和軟組織癌,女,40-44歲,1
340,108,Taipei City,間皮和軟組織癌,女,50-54歲,1
341,108,Taipei City,間皮和軟組織癌,女,60-64歲,1
342,108,Taipei City,間皮和軟組織癌,女,70-74歲,1
343,108,Taipei City,間皮和軟組織癌,女,85-89歲,2
344,108,Taipei City,間皮和軟組織癌,女,90-94歲,1
345,108,Taipei City,女性乳房癌,女,35-39歲,1
346,108,Taipei City,女性乳房癌,女,40-44歲,5
347,108,Taipei City,女性乳房癌,女,45-49歲,5
348,108,Taipei City,女性乳房癌,女,50-54歲,3
349,108,Taipei City,女性乳房癌,女,55-59歲,4
350,108,Taipei City,女性乳房癌,女,60-64歲,7
351,108,Taipei City,女性乳房癌,女,65-69歲,6
352,108,Taipei City,女性乳房癌,女,70-74歲,1
353,108,Taipei City,女性乳房癌,女,75-79歲,2
354,108,Taipei City,女性乳房癌,女,80-84歲,2
355,108,Taipei City,女性乳房癌,女,85-89歲,5
356,108,Taipei City,女性乳房癌,女,90-94歲,1
357,108,Taipei City,女性乳房癌,女,95-99歲,1
358,108,Taipei City,子宮頸及部位未明示子宮癌,女,35-39歲,1
359,108,Taipei City,子宮頸及部位未明示子宮癌,女,40-44歲,1
360,108,Taipei City,子宮頸及部位未明示子宮癌,女,45-49歲,1
361,108,Taipei City,子宮頸及部位未明示子宮癌,女,50-54歲,1
362,108,Taipei City,子宮頸及部位未明示子宮癌,女,65-69歲,2
363,108,Taipei City,子宮頸及部位未明示子宮癌,女,75-79歲,1
364,108,Taipei City,子宮頸及部位未明示子宮癌,女,85-89歲,2
365,108,Taipei City,子宮體癌,女,40-44歲,1
366,108,Taipei City,子宮體癌,女,50-54歲,3
367,108,Taipei City,子宮體癌,女,55-59歲,1
368,108,Taipei City,子宮體癌,女,60-64歲,1
369,108,Taipei City,子宮體癌,女,65-69歲,2
370,108,Taipei City,子宮體癌,女,70-74歲,2
371,108,Taipei City,子宮體癌,女,75-79歲,1
372,108,Taipei City,子宮體癌,女,85-89歲,1
373,108,Taipei City,子宮體癌,女,90-94歲,1
374,108,Taipei City,卵巢癌,女,45-49歲,1
375,108,Taipei City,卵巢癌,女,50-54歲,1
376,108,Taipei City,卵巢癌,女,55-59歲,3
377,108,Taipei City,卵巢癌,女,60-64歲,1
378,108,Taipei City,卵巢癌,女,70-74歲,3
379,108,Taipei City,卵巢癌,女,75-79歲,1
380,108,Taipei City,卵巢癌,女,80-84歲,1
381,108,Taipei City,前列腺(攝護腺)癌,男,50-54歲,1
382,108,Taipei City,前列腺(攝護腺)癌,男,55-59歲,1
383,108,Taipei City,前列腺(攝護腺)癌,男,60-64歲,1
384,108,Taipei City,前列腺(攝護腺)癌,男,65-69歲,1
385,108,Taipei City,前列腺(攝護腺)癌,男,70-74歲,1
386,108,Taipei City,前列腺(攝護腺)癌,男,80-84歲,4
387,108,Taipei City,前列腺(攝護腺)癌,男,85-89歲,4
388,108,Taipei City,前列腺(攝護腺)癌,男,90-94歲,9
389,108,Taipei City,前列腺(攝護腺)癌,男,95-99歲,2
390,108,Taipei City,男性生殖器官癌(攝護腺除外),男,50-54歲,1
391,108,Taipei City,男性生殖器官癌(攝護腺除外),男,85-89歲,1
392,108,Taipei City,腎臟癌,男,60-64歲,1
393,108,Taipei City,腎臟癌,男,75-79歲,1
394,108,Taipei City,腎臟癌,男,85-89歲,1
395,108,Taipei City,膀胱癌,男,75-79歲,1
396,108,Taipei City,膀胱癌,男,80-84歲,3
397,108,Taipei City,膀胱癌,男,90-94歲,2
398,108,Taipei City,膀胱癌,女,75-79歲,1
399,108,Taipei City,膀胱癌,女,80-84歲,2
400,108,Taipei City,膀胱癌,女,85-89歲,1
401,108,Taipei City,膀胱癌,女,90-94歲,1
402,108,Taipei City,腦癌,男,50-54歲,1
403,108,Taipei City,腦癌,男,55-59歲,1
404,108,Taipei City,腦癌,男,65-69歲,1
405,108,Taipei City,腦癌,男,70-74歲,1
406,108,Taipei City,腦癌,女,10-14歲,1
407,108,Taipei City,腦癌,女,30-34歲,1
408,108,Taipei City,腦癌,女,45-49歲,1
409,108,Taipei City,腦癌,女,50-54歲,1
410,108,Taipei City,腦癌,女,60-64歲,1
411,108,Taipei City,腦癌,女,65-69歲,1
412,108,Taipei City,腦癌,女,70-74歲,1
413,108,Taipei City,腦癌,女,80-84歲,2
414,108,Taipei City,腦癌,女,85-89歲,1
415,108,Taipei City,甲狀腺癌,男,65-69歲,1
416,108,Taipei City,甲狀腺癌,男,75-79歲,1
417,108,Taipei City,甲狀腺癌,女,50-54歲,1
418,108,Taipei City,甲狀腺癌,女,75-79歲,1
419,108,Taipei City,何杰金氏症,男,30-34歲,1
420,108,Taipei City,非何杰金氏淋巴瘤,男,45-49歲,1
421,108,Taipei City,非何杰金氏淋巴瘤,男,60-64歲,1
422,108,Taipei City,非何杰金氏淋巴瘤,男,65-69歲,1
423,108,Taipei City,非何杰金氏淋巴瘤,男,70-74歲,1
424,108,Taipei City,非何杰金氏淋巴瘤,男,75-79歲,4
425,108,Taipei City,非何杰金氏淋巴瘤,男,80-84歲,3
426,108,Taipei City,非何杰金氏淋巴瘤,男,85-89歲,3
427,108,Taipei City,非何杰金氏淋巴瘤,男,90-94歲,1
428,108,Taipei City,非何杰金氏淋巴瘤,男,95-99歲,1
429,108,Taipei City,非何杰金氏淋巴瘤,女,55-59歲,1
430,108,Taipei City,非何杰金氏淋巴瘤,女,60-64歲,1
431,108,Taipei City,非何杰金氏淋巴瘤,女,75-79歲,1
432,108,Taipei City,非何杰金氏淋巴瘤,女,80-84歲,1
433,108,Taipei City,非何杰金氏淋巴瘤,女,85-89歲,2
434,108,Taipei City,非何杰金氏淋巴瘤,女,90-94歲,1
435,108,Taipei City,非何杰金氏淋巴瘤,女,95-99歲,2
436,108,Taipei City,白血病,男,25-29歲,1
437,108,Taipei City,白血病,男,60-64歲,1
438,108,Taipei City,白血病,男,70-74歲,2
439,108,Taipei City,白血病,男,75-79歲,4
440,108,Taipei City,白血病,男,80-84歲,1
441,108,Taipei City,白血病,男,85-89歲,2
442,108,Taipei City,白血病,男,90-94歲,1
443,108,Taipei City,白血病,女,一歲,1
444,108,Taipei City,白血病,女,25-29歲,1
445,108,Taipei City,白血病,女,35-39歲,1
446,108,Taipei City,白血病,女,55-59歲,1
447,108,Taipei City,白血病,女,80-84歲,2
448,108,Taipei City,白血病,女,90-94歲,2
449,108,Taipei City,其他癌症,男,35-39歲,1
450,108,Taipei City,其他癌症,男,45-49歲,1
451,108,Taipei City,其他癌症,男,60-64歲,3
452,108,Taipei City,其他癌症,男,65-69歲,2
453,108,Taipei City,其他癌症,男,70-74歲,4
454,108,Taipei City,其他癌症,男,80-84歲,6
455,108,Taipei City,其他癌症,男,85-89歲,3
456,108,Taipei City,其他癌症,男,90-94歲,1
457,108,Taipei City,其他癌症,男,100歲以上,1
458,108,Taipei City,其他癌症,女,25-29歲,1
459,108,Taipei City,其他癌症,女,45-49歲,1
460,108,Taipei City,其他癌症,女,55-59歲,1
461,108,Taipei City,其他癌症,女,60-64歲,1
462,108,Taipei City,其他癌症,女,65-69歲,2
463,108,Taipei City,其他癌症,女,75-79歲,3
464,108,Taipei City,其他癌症,女,80-84歲,2
465,108,Taipei City,其他癌症,女,85-89歲,4
466,108,Taipei City,口腔癌,男,45-49歲,1
467,108,Taipei City,口腔癌,男,50-54歲,2
468,108,Taipei City,口腔癌,男,55-59歲,2
469,108,Taipei City,口腔癌,男,60-64歲,4
470,108,Taipei City,口腔癌,男,65-69歲,2
